ann_term	sum	annotation
PF15547	6	Steroid receptor-associated and regulated protein
PF15548	7	Domain of unknown function (DUF4655)
PF15549	17	PGC7/Stella/Dppa3 domain
PF15550	12	Draxin
PF15551	17	Domain of unknown function (DUF4656)
PF15552	12	Domain of unknown function (DUF4657)
PF15553	9	Testis-expressed protein 19
PF15554	21	FSIP1 family
PF15555	7	Domain of unknown function (DUF4658)
PF15556	7	ZW10 interactor
PF15557	11	CAF1 complex subunit p150, region binding to PCNA
PF15558	31	Domain of unknown function (DUF4659)
PF15559	17	Domain of unknown function (DUF4660)
PF15576	11	Domain of unknown function (DUF4661)
PF15577	3	Spc7_C2
PF15578	8	Domain of unknown function (DUF4662)
PF15612	137	WSTF, HB1, Itc1p, MBD9 motif 1
PF15613	147	Williams-Beuren syndrome DDT (WSD), D-TOX E motif
PF15619	42	Ciliary protein causing Leber congenital amaurosis disease
PF15620	6	Centromere assembly component CENP-C middle DNMT3B-binding region
PF15621	12	Proline-rich submaxillary gland androgen-regulated family
PF15622	8	Kinetochore assembly subunit CENP-C N-terminal
PF15623	19	Cancer/testis gene family 47
PF15624	6	Kinetochore CENP-C fungal homologue, Mif2, N-terminal
PF15625	37	CC2D2A N-terminal C2 domain
PF15626	1	single CXXC unit
PF15627	24	CEP76 C2 domain
PF15628	23	RRM in Demeter
PF15629	12	Permuted single zf-CXXC unit
PF15630	36	CENP-S protein
PF15632	6	ATP-grasp in the biosynthetic pathway with Ter operon
PF15633	1	HYD1 signature containing ADP-ribosyltransferase
PF15636	68	GHH signature containing HNH/Endo VII superfamily nuclease toxin
PF15651	3	Salivary glad secreted protein domain toxin
PF15661	13	C6orf222, uncharacterised family
PF15662	4	Spermatogenesis-associated protein 3 family
PF15663	73	Zinc-finger containing family
PF15664	10	Transmembrane protein 252 family
PF15665	37	Family with sequence similarity 184, A and B
PF15666	10	Germinal center-associated lymphoma
PF15667	13	Protein of unknown function with motif GDWWSH
PF15668	12	Domain of unknown function (DUF4663)
PF15669	21	Coiled-coil domain-containing protein 24 family
PF15670	17	Spermatid maturation protein 1
PF15671	21	Proline-rich protein family 18
PF15672	9	Cell-membrane associated Mucin15
PF15673	15	Circadian-associated transcriptional repressor
PF15674	13	Coiled-coil domain-containing protein 23
PF15675	16	CLLAC-motif containing domain
PF15676	8	Six6 opposite strand transcript 1 family
PF15677	11	Cell cycle exit and neuronal differentiation protein 1
PF15678	22	Centriole duplication and mitotic chromosome congression
PF15679	15	Domain of unknown function (DUF4665)
PF15680	9	Orofacial cleft 1 candidate gene 1 protein
PF15681	6	Lymphocyte activation family X
PF15682	15	Musculoskeletal, temporally activated-embryonic nuclear protein 1
PF15683	15	Testis development-related protein
PF15684	13	Active regulator of SIRT1, or 40S ribosomal protein S19-binding 1
PF15685	9	Gametogenetin
PF15686	15	Lysine-rich CEACAM1 co-isolated protein family
PF15687	14	Nuclear receptor-interacting protein 1 repression 1
PF15688	13	Nuclear receptor-interacting protein 1 repression 2
PF15689	9	Nuclear receptor-interacting protein 1 repression 3
PF15690	13	Nuclear receptor-interacting protein 1 repression 4
PF15691	20	Protein phosphatase 1 regulatory subunit 32
PF15692	37	NF-kappa-B-activating protein
PF15693	16	Mediator complex subunit 26 C-terminal
PF15694	14	Mediator complex subunit 26 middle domain
PF15695	5	Rec (regulator of expression encoded by corf) of HERV-K-113
PF15696	18	RAD51 interacting motif
PF15697	24	Domain of unknown function (DUF4666)
PF15699	13	NPR1 interacting
PF15700	3	Domain of unknown function (DUF4667)
PF15701	5	Domain of unknown function (DUF4668)
PF15702	16	Hermansky-Pudlak syndrome 6 protein
PF15703	8	Linker for activation of T-cells family member 2
PF15704	6	Mitochondrial ATP synthase subunit
PF15705	63	Mature oligodendrocyte transmembrane protein, TMEM132D, N-term
PF15706	72	Mature oligodendrocyte transmembrane protein, TMEM132D, C-term
PF15707	4	Mitochondrial coiled-coil domain protein 1
PF15708	5	Proline-rich protein family 20
PF15709	12	Domain of unknown function (DUF4670)
PF15710	12	Domain of unknown function (DUF4671)
PF15711	179	Interleukin-like EMT inducer
PF15712	15	NPAT C terminus
PF15713	9	Protein tyrosine phosphatase receptor type C-associated
PF15715	17	PCNA-associated factor histone like domain
PF15716	3	Domain of unknown function (DUF4672)
PF15717	23	Pericentriolar material 1 C terminus
PF15718	31	Protein moonraker
PF15719	15	Domain of unknown function (DUF4674)
PF15720	11	Domain of unknown function (DUF4675)
PF15721	5	Annexin-2 receptor
PF15722	7	FAM153 family
PF15724	14	TMEM119 family
PF15725	8	Renal cancer differentiation gene 1 protein
PF15726	6	Domain of unknown function (DUF4677)
PF15727	7	Domain of unknown function (DUF4678)
PF15728	4	Domain of unknown function (DUF4679)
PF15729	13	Amyotrophic lateral sclerosis 2 candidate 11
PF15730	6	Domain of unknown function (DUF4680)
PF15732	2	Domain of unknown function (DUF4681)
PF15733	27	Domain of unknown function (DUF4682)
PF15734	21	Migration and invasion-inhibitory
PF15735	37	Domain of unknown function (DUF4683)
PF15736	7	Domain of unknown function (DUF4684)
PF15737	17	Domain of unknown function (DUF4685)
PF15739	46	Translin-associated factor X-interacting N-terminus
PF15740	21	Protein phosphatase 1 regulatory subunit 26 N-terminus
PF15741	14	Ligand-dependent nuclear receptor-interacting factor 1
PF15742	17	Domain of unknown function (DUF4686)
PF15743	14	Spermatogenesis-associated C-terminus
PF15744	12	Uncharacterized protein family UPF0492
PF15745	15	AP-1 complex-associated regulatory protein
PF15746	10	TMEM215 family
PF15747	6	Domain of unknown function (DUF4687)
PF15748	17	Centriole, cilia and spindle-associated
PF15749	27	MRN-interacting protein
PF15750	12	Ubiquitin-binding zinc-finger
PF15751	8	FAAP20 FANCA interaction domain
PF15752	11	Domain of unknown function (DUF4688)
PF15753	25	Biogenesis of lysosome-related organelles complex 1 subunit 3
PF15754	6	Sperm equatorial segment protein 1
PF15755	7	Domain of unknown function (DUF4689)
PF15756	9	Small Novel Rich in Cartilage
PF15757	7	Amelotin
PF15758	6	Histidine-rich carboxyl terminus protein 1
PF15759	13	TMEM108 family
PF15760	8	Leukemia-associated protein 7
PF15761	8	Immortalisation up-regulated protein
PF15762	6	Domain of unknown function (DUF4691)
PF15763	6	Regulator of human erythroid cell expansion (RHEX)
PF15764	13	Domain of unknown function (DUF4693)
PF15765	6	Domain of unknown function (DUF4694)
PF15766	11	Domain of unknown function (DUF4695)
PF15767	10	Domain of unknown function (DUF4696)
PF15768	10	Coiled-coil domain-containing protein 190
PF15769	20	Domain of unknown function (DUF4698)
PF15770	11	Domain of unknown function (DUF4699)
PF15771	9	Interactor of HORMAD1 protein 1
PF15772	10	UPF0688 family
PF15773	12	Domain of unknown function (DUF4701)
PF15774	7	Domain of unknown function (DUF4702)
PF15775	7	Domain of unknown function (DUF4703)
PF15776	8	Proline-rich protein family 22
PF15778	23	Cation channel complex component UNC80
PF15779	248	Leucine-rich repeat-containing protein 37 family
PF15780	66	Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin
PF15782	54	Gene regulated by oestrogen in breast cancer
PF15783	46	Fibrous sheath-interacting protein 2
PF15784	28	G-protein pathway suppressor 2-interacting domain
PF15785	48	Serine/threonine-protein kinase smg-1
PF15786	23	PET assembly of cytochrome c oxidase, mitochondrial
PF15787	113	Domain of unknown function (DUF4704)
PF15788	196	Domain of unknown function (DUF4705)
PF15790	18	E1A-binding protein p400, N-terminal
PF15791	25	Doublesex-and mab-3-related transcription factor C1 and C2
PF15792	14	Lung adenoma susceptibility protein 2
PF15793	18	Protein family FAM35, C-terminal
PF15794	32	Coiled-coil domain-containing protein 106
PF15795	28	Ectodermal ciliogenesis protein
PF15796	38	KELK-motif containing domain of MRCK Ser/Thr protein kinase
PF15797	21	Domain of unknown function (DUF4706)
PF15798	22	Proline-rich AKT1 substrate 1
PF15799	37	Coiled-coil domain-containing protein 48
PF15800	28	Clock interacting protein circadian
PF15801	58	zf-MYND-like zinc finger, mRNA-binding
PF15802	20	DDB1- and CUL4-associated factor 17
PF15803	19	Zinc-finger of sodium channel modifier 1
PF15804	85	Coiled-coil domain-containing protein 168
PF15805	17	Acidic C-terminal region of sodium channel modifier 1 SCNM1
PF15806	16	Domain of unknown function (DUF4707)
PF15807	23	Membrane-associated protein 117 kDa, PDZK1-interacting protein 1
PF15808	20	BCL-6 co-repressor, non-ankyrin-repeat region
PF15809	6	Simian taste bud-specific gene product family
PF15810	17	Coiled-coil domain-containing protein 117
PF15811	23	Small VCP/p97-interacting protein
PF15812	18	Melanoregulin
PF15813	18	Domain of unknown function (DUF4708)
PF15814	18	Protein family FAM199X
PF15815	17	E3 ubiquitin-protein ligase makorin-1, C-terminal
PF15816	14	Transmembrane protein 82
PF15817	9	Transmembrane protein 40 family
PF15818	12	Coiled-coil domain-containing protein 73 family
PF15819	18	Fin bud initiation factor homologue
PF15820	9	Endothelial cell-specific chemotaxis regulator
PF15821	14	Domain of unknown function (DUF4709)
PF15822	12	MAPK-interacting and spindle-stabilising protein-like
PF15823	16	UPF0524 of C3orf70
PF15824	7	Spermatogenesis-associated protein 9
PF15825	8	FAM25 family
PF15826	6	Bcl-2-binding component 3, p53 upregulated modulator of apoptosis
PF15828	12	Domain of unknown function (DUF4710)
PF15829	8	Domain of unknown function (DUF4711)
PF15830	7	Domain of unknown function (DUF4712)
PF15831	28	Domain of unknown function (DUF4713)
PF15832	2	FAM27 D and E protein family
PF15833	8	Domain of unknown function (DUF4714)
PF15834	8	Testis highly expressed protein 4
PF15835	7	Domain of unknown function (DUF4715)
PF15836	7	SSTK-interacting protein, TSSK6-activating co-chaperone protein
PF15838	6	Domain of unknown function (DUF4717)
PF15839	6	Testis-expressed sequence 29 protein
PF15840	1	ADP-ribosylation factor-like protein 17
PF15841	6	Transmembrane protein 239 family
PF15842	6	Domain of unknown function (DUF4718)
PF15843	12	Domain of unknown function (DUF4719)
PF15844	6	Transmembrane and coiled-coil domain-containing protein 2
PF15845	5	Cysteine-rich C-terminal 1 family
PF15846	7	Domain of unknown function (DUF4720)
PF15847	10	Major keratinocyte cell envelope protein
PF15848	5	Odontogenesis associated phosphoprotein
PF15849	5	Domain of unknown function (DUF4722)
PF15851	3	Domain of unknown function (DUF4723)
PF15852	6	Domain of unknown function (DUF4724)
PF15854	5	G-protein coupled receptor ligand 15
PF15855	5	Domain of unknown function (DUF4726)
PF15856	6	Domain of unknown function (DUF4727)
PF15858	5	Late cornified envelope protein 6A family
PF15859	1	Deleted in esophageal cancer 1 family
PF15860	25	Domain of unknown function (DUF4728)
PF15862	30	Coilin N-terminus
PF15865	24	Fanconi anaemia group A protein N terminus
PF15866	12	Domain of unknown function (DUF4729)
PF15867	28	Dynein attachment factor N-terminus
PF15868	16	Transcription activator MBF2
PF15870	39	ElonginA binding-protein 1
PF15871	32	Junction-mediating and -regulatory protein
PF15872	16	Serine-rich and transmembrane domain-containing protein 1
PF15873	8	Domain of unknown function (DUF4730)
PF15874	32	Putative Interleukin 2 receptor, gamma chain
PF15875	10	Domain of unknown function (DUF4731)
PF15876	8	Domain of unknown function (DUF4732)
PF15877	19	Transmembrane protein family 232
PF15878	6	Domain of unknown function (DUF4733)
PF15879	30	NADH-ubiquinone oxidoreductase MWFE subunit
PF15880	21	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial
PF15881	7	Domain of unknown function (DUF4734)
PF15882	37	Domain of unknown function (DUF4735)
PF15883	5	Domain of unknown function (DUF4736)
PF15884	23	MICOS complex subunit MIC13, QIL1
PF15886	16	Carbohydrate binding domain (family 32)
PF15888	2	Folded gastrulation N-terminus
PF15891	17	Nucleoside 2-deoxyribosyltransferase like
PF15892	1	BNR repeat-containing family member
PF15893	2	Domain of unknown function (DUF4739)
PF15895	1	CAAX box cerebral protein 1
PF15897	4	Domain of unknown function (DUF4741)
PF15898	53	cGMP-dependent protein kinase interacting domain
PF15901	122	Sortilin, neurotensin receptor 3, C-terminal
PF15902	131	Sortilin, neurotensin receptor 3,
PF15903	61	Filopodia upregulated, FAM65
PF15904	19	LKB1 serine/threonine kinase interacting protein 1
PF15905	15	Hyaluronan mediated motility receptor N-terminal
PF15906	40	Zinc-finger of nitric oxide synthase-interacting protein
PF15907	36	Integrin-alpha FG-GAP repeat-containing protein 2
PF15908	35	Hyaluronan mediated motility receptor C-terminal
PF15909	16	C2H2-type zinc ribbon
PF15910	15	ICOS V-set domain
PF15911	30	WD domain, G-beta repeat
PF15912	26	Virilizer, N-terminal
PF15913	60	Furin-like repeat, cysteine-rich
PF15914	27	FAM193 family C-terminal
PF15916	33	Domain of unknown function (DUF4743)
PF15917	49	Piezo
PF15918	11	Domain of unknown function (DUF4744)
PF15919	2	HicB_like antitoxin of bacterial toxin-antitoxin system
PF15920	25	N-terminal of Junction-mediating and WASP homolog-associated
PF15921	11	Coiled-coil domain-containing protein 158
PF15923	17	Domain of unknown function (DUF4745)
PF15924	45	ALG11 mannosyltransferase N-terminus
PF15925	22	SOSS complex subunit C
PF15926	32	E3 ubiquitin-protein ligase RNF220
PF15927	32	Cancer susceptibility candidate 1 N-terminus
PF15928	6	Domain of unknown function (DUF4746)
PF15929	4	Myofilin
PF15932	8	Domain of unknown function (DUF4748)
PF15934	1	Yuri gagarin
PF15936	96	Domain of unknown function (DUF4749)
PF15938	26	Domain of unknown function (DUF4750)
PF15949	58	Domain of unknown function (DUF4757)
PF15950	17	Putative sperm flagellar membrane protein
PF15951	62	MITF/TFEB/TFEC/TFE3 N-terminus
PF15952	7	Enhancer of split M4 family
PF15955	23	Cuticle protein
PF15957	3	Commissureless
PF15960	6	Domain of unknown function (DUF4763)
PF15961	19	Domain of unknown function (DUF4764)
PF15963	50	Myb DNA-binding like
PF15964	30	Centrosomal colon cancer autoantigen protein family
PF15965	43	TRAF-like zinc-finger
PF15966	41	F-box
PF15967	30	Nucleoporin FG repeated region
PF15972	3	Unpaired protein
PF15973	11	Domain of unknown function (DUF4766)
PF15974	167	Cadherin C-terminal cytoplasmic tail, catenin-binding region
PF15975	54	Flotillin
PF15979	4	Glycosyl hydrolase family 115
PF15982	43	N-terminal cysteine-rich region of Transmembrane protein 135
PF15985	91	KH domain
PF15989	2	Domain of unknown function (DUF4768)
PF15990	17	UPF0767 family
PF15991	20	G-protein pathway suppressor
PF15992	1	Domain of unknown function (DUF4769)
PF15993	13	Fuseless
PF15994	7	Domain of unknown function (DUF4770)
PF15995	6	Domain of unknown function (DUF4771)
PF15996	31	Arginine/serine-rich protein PNISR
PF15997	19	Domain of unknown function (DUF4772)
PF15998	16	Domain of unknown function (DUF4773)
PF15999	4	Domain of unknown function (DUF4774)
PF16000	54	CARMIL C-terminus
PF16001	4	Domain of unknown function (DUF4775)
PF16002	22	Headcase protein
PF16003	10	Domain of unknown function (DUF4776)
PF16004	47	116 kDa U5 small nuclear ribonucleoprotein component N-terminus
PF16005	28	KH-like RNA-binding domain
PF16006	21	Nucleolar and spindle-associated protein
PF16007	7	Domain of unknown function (DUF4777)
PF16008	4	Domain of unknown function (DUF4778)
PF16009	10	Domain of unknown function (DUF4779)
PF16010	13	Cytochrome domain of cellobiose dehydrogenase
PF16012	5	Domain of unknown function (DUF4780)
PF16013	10	Domain of unknown function (DUF4781)
PF16014	22	Histone deacetylase complex subunit SAP130 C-terminus
PF16015	17	Promethin
PF16016	164	VAD1 Analog of StAR-related lipid transfer domain
PF16017	38	BTB/POZ domain
PF16018	23	Anillin N-terminus
PF16019	63	Cysteine/serine-rich nuclear protein N-terminus
PF16020	9	Deltamethrin resistance
PF16021	26	Programmed cell death protein 7
PF16025	22	Calcium-dependent calmodulin binding
PF16026	29	Mitochondria-eating protein
PF16027	10	Domain of unknown function (DUF4786)
PF16028	32	Solute carrier family 3 member 2 N-terminus
PF16029	11	Domain of unknown function (DUF4787)
PF16030	15	Serine protease gd N-terminus
PF16032	6	Domain of unknown function (DUF4788)
PF16033	57	Domain of unknown function (DUF4789)
PF16034	39	JAKMIP CC3 domain
PF16035	24	Chalcone isomerase like
PF16036	3	Chalcone isomerase-like
PF16037	5	Domain of unknown function (DUF4790)
PF16038	20	TMIE protein
PF16039	5	Domain of unknown function (DUF4791)
PF16040	15	Domain of unknown function (DUF4792)
PF16041	18	Domain of unknown function (DUF4793)
PF16042	9	Domain of unknown function (DUF4794)
PF16043	34	Domain of unknown function (DUF4795)
PF16044	24	Domain of unknown function (DUF4796)
PF16045	31	LisH
PF16046	40	FAM76 protein
PF16050	42	Paf1 complex subunit CDC73 N-terminal
PF16051	4	Domain of unknown function (DUF4797)
PF16053	35	Mitochondrial 28S ribosomal protein S34
PF16054	19	Transmembrane protein family 72
PF16055	1	Domain of unknown function (DUF4798)
PF16056	4	Domain of unknown function (DUF4799)
PF16057	44	Domain of unknown function (DUF4800)
PF16058	29	Mucin-like
PF16059	24	Domain of unknown function (DUF4801)
PF16060	6	Domain of unknown function (DUF4802)
PF16061	5	Domain of unknown function (DUF4803)
PF16062	3	Domain of unknown function (DUF4804)
PF16063	2	Domain of unknown function (DUF4805)
PF16064	82	Domain of unknown function (DUF4806)
PF16065	21	Domain of unknown function (DUF4807)
PF16066	21	Domain of unknown function (DUF4808)
PF16070	89	Transmembrane protein family 132
PF16071	4	Domain of unknown function (DUF4812)
PF16072	6	Domain of unknown function (DUF4813)
PF16073	35	Starter unit:ACP transacylase in aflatoxin biosynthesis
PF16076	166	Acyltransferase C-terminus
PF16077	64	Spaetzle
PF16078	72	2-oxoglutarate dehydrogenase N-terminus
PF16086	31	Domain of unknown function (DUF4816)
PF16087	5	Helix-turn-helix domain (DUF4817)
PF16088	26	BLOC-1-related complex sub-unit 7
PF16089	10	Domain of unknown function (DUF4818)
PF16090	20	Domain of unknown function (DUF4819)
PF16091	3	Domain of unknown function (DUF4820)
PF16092	32	Domain of unknown function (DUF4821)
PF16093	39	Proteasome assembly chaperone 4
PF16094	24	Proteasome assembly chaperone 4
PF16095	275	C-terminal of Roc, COR, domain
PF16096	23	Fragile X-related 1 protein C-terminal region 2
PF16097	11	Fragile X-related 1 protein C-terminal region 3
PF16098	13	Fragile X-related mental retardation protein C-terminal region 2
PF16099	33	Recq-mediated genome instability protein 1, C-terminal OB-fold
PF16100	27	RecQ-mediated genome instability protein 2
PF16101	12	Proline-rich membrane anchor 1
PF16108	1	Domain of unknown function (DUF4826)
PF16113	85	Enoyl-CoA hydratase/isomerase
PF16114	56	ATP citrate lyase citrate-binding
PF16116	9	Domain of unknown function (DUF4832)
PF16117	16	Domain of unknown function (DUF4833)
PF16118	2	Domain of unknown function (DUF4834)
PF16121	69	40S ribosomal protein S4 C-terminus
PF16122	34	40S ribosomal protein SA C-terminus
PF16123	92	Hydroxyacylglutathione hydrolase C-terminus
PF16124	159	RecQ zinc-binding
PF16130	1	Domain of unknown function (DUF4842)
PF16131	38	Torus domain
PF16134	91	THO complex subunit 2 N-terminus
PF16135	90	TPL-binding domain in jasmonate signalling
PF16136	14	Putative nuclear localisation signal
PF16155	1	Domain of unknown function (DUF4863)
PF16156	1	Domain of unknown function (DUF4864)
PF16158	76	Ig-like domain from next to BRCA1 gene
PF16159	63	FOXP coiled-coil domain
PF16164	6	VWA N-terminal
PF16165	112	Ferlin C-terminus
PF16166	25	Chloroplast import apparatus Tic20-like
PF16171	9	Centromere kinetochore component CENP-T N-terminus
PF16172	109	DOCK N-terminus
PF16173	6	Domain of unknown function (DUF4874)
PF16174	31	Intracellular hyaluronan-binding protein 4 N-terminal
PF16176	33	T-box transcription factor-associated
PF16177	173	Acetyl-coenzyme A synthetase N-terminus
PF16178	163	Dimerisation domain of Ca+-activated chloride-channel, anoctamin
PF16179	155	Rel homology dimerisation domain
PF16180	6	RelB leucine zipper
PF16181	7	RelB transactivation domain
PF16182	80	Putative adherens-junction anchoring region of AbLIM
PF16183	146	Kinesin-associated
PF16184	1117	Cadherin-like
PF16185	27	Mitochondrial ABC-transporter N-terminal five TM region
PF16186	177	Atypical Arm repeat
PF16187	125	Middle or third domain of peptidase_M16
PF16188	78	C-terminal region of peptidase_M24
PF16189	78	Creatinase/Prolidase N-terminal domain
PF16190	89	Ubiquitin-activating enzyme E1 FCCH domain
PF16191	92	Ubiquitin-activating enzyme E1 four-helix bundle
PF16192	76	C-terminal four TMM region of protein-O-mannosyltransferase
PF16193	32	AAA C-terminal domain
PF16195	13	SUMO-activating enzyme subunit 2 C-terminus
PF16197	118	Ketoacyl-synthetase C-terminal extension
PF16198	64	tRNA pseudouridylate synthase B C-terminal domain
PF16199	51	Radical_SAM C-terminal domain
PF16200	45	C-terminal region of band_7
PF16201	43	Nucleolar pre-ribosomal-associated protein 1
PF16202	12	N-terminal region of Bloom syndrome protein
PF16203	52	ERCC3/RAD25/XPB C-terminal helicase
PF16204	6	BDHCT-box associated domain on Bloom syndrome protein
PF16205	67	Ribosomal_S17 N-terminal
PF16206	75	C-terminal region of Mon2 protein
PF16207	118	RAWUL domain RING finger- and  WD40-associated ubiquitin-like
PF16208	242	Keratin type II head
PF16209	403	Phospholipid-translocating ATPase N-terminal
PF16210	6	Keratin type II cytoskeletal 1 tail
PF16211	653	C-terminus of histone H2A
PF16212	429	Phospholipid-translocating P-type ATPase C-terminal
PF16213	137	Dimerisation and cyclophilin-binding domain of Mon2
PF16214	162	Adenylyl cyclase N-terminal extracellular and transmembrane region
PF16216	1	GxGYxY sequence motif in domain of unknown function N-terminal
PF16218	25	Peptidase family C101
PF16242	3	Pyridoxamine 5'-phosphate oxidase like
PF16263	1	Domain of unknown function (DUF4917)
PF16268	1	Domain of unknown function (DUF4921)
PF16269	1	Domain of unknown function (DUF4922)
PF16273	15	Nuclear distribution C domain
PF16274	43	Qua1 domain
PF16275	45	Splicing factor 1 helix-hairpin domain
PF16276	17	Nucleophosmin C-terminal domain
PF16278	37	C2HE / C2H2 / C2HC zinc-binding finger
PF16279	27	Domain of unknown function (DUF4927)
PF16282	45	SANT/Myb-like domain of DAMP1
PF16294	39	RNSP1-SAP18 binding (RSB) motif
PF16297	46	Domain of unknown function (DUF4939)
PF16300	176	Type of WD40 repeat
PF16311	21	Transmembrane protein 100
PF16312	18	Coiled-coil region of Oberon
PF16313	3	Met-zincin
PF16314	5	Domain of unknown function (DUF4954)
PF16317	37	Glycosyl hydrolase family 99
PF16320	57	Ribosomal protein L7/L12 dimerisation domain
PF16321	7	Sigma 54 modulation/S30EA ribosomal protein C terminus
PF16322	45	Tubby N-terminal
PF16326	2	ABC transporter C-terminal domain
PF16327	1	Cytochrome c-type biogenesis protein CcmF C-terminal
PF16332	9	Domain of unknown function (DUF4962)
PF16334	8	Domain of unknown function (DUF4964)
PF16335	14	Domain of unknown function (DUF4965)
PF16347	18	Domain of unknown function (DUF4976)
PF16350	73	FAD dependent oxidoreductase central domain
PF16353	10	Domain of unknown function(DUF4981)
PF16355	4	Domain of unknown function (DUF4982)
PF16360	41	GTP-binding GTPase Middle Region
PF16363	266	GDP-mannose 4,6 dehydratase
PF16366	80	Cytoplasmic polyadenylation element-binding protein ZZ domain
PF16367	85	RNA recognition motif
PF16368	16	Cytoplasmic polyadenylation element-binding protein 1 N-terminus
PF16381	59	Coatomer subunit gamma-1 C-terminal appendage platform
PF16399	53	Intron-binding protein aquarius N-terminus
PF16401	15	Domain of unknown function (DUF5009)
PF16402	1	Domain of unknown function (DUF5010)
PF16403	1	Domain of unknown function (DUF5011)
PF16413	46	DNA mismatch repair protein Mlh1 C-terminus
PF16414	74	Niemann-Pick C1 N terminus
PF16415	50	CCR4-NOT transcription complex subunit 1 CAF1-binding domain
PF16417	50	CCR4-NOT transcription complex subunit 1 TTP binding domain
PF16418	49	CCR4-NOT transcription complex subunit 1 HEAT repeat
PF16419	2	CCR4-NOT transcription complex subunit 1 HEAT repeat
PF16420	46	Ubiquitin-like modifier-activating enzyme ATG7 N-terminus
PF16421	128	E2F transcription factor CC-MB domain
PF16422	74	Transcription factor COE1 DNA-binding domain
PF16423	61	Transcription factor COE1 helix-loop-helix domain
PF16448	1	LapD/MoxY periplasmic domain
PF16450	260	Proteasomal ATPase OB C-terminal domain
PF16453	59	PH domain
PF16454	54	Phosphatidylinositol 3-kinase regulatory subunit P85 inter-SH2 domain
PF16455	57	Ubiquitin-binding domain
PF16457	149	Pleckstrin homology domain
PF16469	23	Nematode polyprotein allergen ABA-1
PF16470	151	Peptidase S8 pro-domain
PF16471	42	JNK-interacting protein  leucine zipper II
PF16472	31	Domain of unknown function (DUF5050)
PF16474	71	Kinase non-catalytic C-lobe domain
PF16477	3	Domain of unknown function (DUF5054)
PF16482	49	Staufen C-terminal domain
PF16483	5	Beta-1,3-glucanase
PF16484	53	Carnitine O-palmitoyltransferase N-terminus
PF16486	172	N-terminal domain of argonaute
PF16487	133	Mid domain of argonaute
PF16488	170	Argonaute linker 2 domain
PF16489	215	GPCR-Autoproteolysis INducing (GAIN) domain
PF16491	49	CAAX prenyl protease N-terminal, five membrane helices
PF16492	545	Cadherin cytoplasmic C-terminal
PF16493	85	N-terminal of Homeobox Meis and PKNOX1
PF16494	63	C-terminal extension of sodium/calcium exchanger domain
PF16495	78	SWIRM-associated region 1
PF16496	46	SWIRM-associated domain at the N-terminal
PF16497	51	MHC-I family domain
PF16498	37	SWIRM-associated domain at the C-terminal
PF16499	99	Alpha galactosidase A
PF16500	15	N-terminal region of cyclin_N
PF16501	29	S phase cyclin A-associated protein in the endoplasmic reticulum
PF16503	42	Zinc-ribbon
PF16507	63	Proteasome-substrate-size regulator, mid region
PF16508	25	Second BRCT domain on Nijmegen syndrome breakage protein
PF16511	64	N-terminal or F0 domain of Talin-head FERM
PF16512	36	p190-A and -B Rho GAPs FF domain
PF16515	28	Clathrin-binding domain of Huntingtin-interacting protein 1
PF16516	59	Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator
PF16517	87	Novel Ras effector 1 C-terminal SARAH (Sav/Rassf/Hpo) domain
PF16519	55	Tetramerisation domain of TRPM
PF16521	31	Myosin VI cargo binding domain
PF16523	33	betaPIX coiled coil
PF16526	68	C-terminal leucine zipper domain of cyclic nucleotide-gated channels
PF16528	53	Exocyst component 84 C-terminal
PF16529	42	WD40 region of Ge1, enhancer of mRNA-decapping protein
PF16531	34	Centriolar protein SAS N-terminal
PF16533	45	STIM1 Orai1-activating region
PF16534	36	Ubiquitin-like oligomerisation domain of SATB
PF16540	30	Arf6-interacting domain of mitotic kinesin-like protein 1
PF16541	3	Alternaria alternata allergen 1
PF16543	71	DRG Family Regulatory Proteins, Tma46
PF16544	56	Homodimerisation region of STAR domain protein
PF16545	26	Cerebral cavernous malformation protein, harmonin-homology
PF16546	43	Homodimerisation domain of SGTA
PF16547	4	Proteasome-substrate-size regulator, N-terminal
PF16550	44	UCH-binding domain
PF16551	16	Putative nuclear localisation signal of quaking
PF16553	29	BCORL-PCGF1-binding domain
PF16556	22	Interleukin-17 receptor, fibronectin-III-like domain 1
PF16557	28	CUT1-like DNA-binding domain of SATB
PF16558	41	Amino-terminal Zinc-binding domain of ubiquitin ligase E3A
PF16559	29	GIT coiled-coil Rho guanine nucleotide exchange factor
PF16561	144	Glycogen recognition site of AMP-activated protein kinase
PF16562	35	N-terminal domain of E3 ubiquitin-protein ligase HECW1 and 2
PF16563	33	Coiled-coil and interaction region of P66A and P66B with MBD2
PF16564	50	p55-binding region of Methyl-CpG-binding domain proteins MBD
PF16565	24	Phospholipase D-like domain at C-terminus of MIT
PF16566	58	Cell-cycle alteration and expression-elevated protein in tumour
PF16568	36	Tyrosine-rich domain of Sam68
PF16573	54	N-terminal beta-sandwich domain of polyadenylation factor
PF16574	14	Coiled-coil region of centrosome protein CE290
PF16575	115	mRNA cleavage and polyadenylation factor CLP1 P-loop
PF16576	3	Barrel-sandwich domain of CusB or HlyD membrane-fusion
PF16577	24	UBA domain
